MMSI;Name;Call;Type
577268000;RHONE;YJTW6;Cargo
235022314;RED ARROW;MGRQ3;Pleasure
525701025;AKRA105;YDJV3;Tanker
352005019;ALSILS;3E7227;Cargo
563286300;YM WISH;9V9075;Cargo
636093378;CHIQUITA HORIZON;5LXD3;Cargo
352004821;XIN HANG 6;3E7059;Cargo
369134000;US GOVERNMENT VESSEL;KGSU;Other
224692000;CIUDAD DE MAHON;ECNO;Passenger
563298100;MADRID EXPRESS;9V8136;Cargo
273415570;ANTARES;UBHX;Cargo
538011860;ANGELE N;V7A3576;Cargo
352005983;NORD ATOLL;3E8482;Cargo
538011941;SAFFRON;V7A3699;Cargo
563290300;JADE I;9V6480;Cargo
477116400;OOCL SUNFLOWER;VRWL2;Cargo
610107152;SONA;TYD52;Tanker
352005378;BUNGO STAR;3E8659;Cargo
305753000;K-PACIFIC;V2HY8;Cargo
211915000;KOELN;DRBF;Other
636025440;RUBY TOWER;5LXL7;Cargo
636025607;MINOAS;5LYG7;Cargo
413586980;GUO SHUN 28;BPPH3;Cargo
372612000;APOGEE ENDEAVOUR;3FKC4;Cargo
353710000;ASTER OCEAN;3EPS5;Cargo
258057000;FALCON TIDE;LAEY8;Other
205413000;GOLDEN FAST;ONOZ;Cargo
249198000;CANMER;9HA6160;Tanker
241944000;AQUAGLORY;SVDZ3;Cargo
205443000;GOLDEN FRIDGE;ONPM;Cargo
232013416;QUEEN BEE;MCLH5;Pleasure
577104000;STORM PEARL;YJRB8;Tanker
249607000;NATHEA-M;9HA6328;Tanker
219718000;BANGKOK MAERSK;OUZC2;Cargo
255916023;CELTIC MARINER;CQ2452;Cargo
563267900;YANGZE 33;9VEJ2;Cargo
563269800;INCE ANTALYA;9VDA9;Cargo
667002033;SELVA;9LU2836;Tanker
655919000;REGAL I;7QA100;Tanker
636025640;LADY ANDRIANE;D5SH8;Cargo
538090690;LEONARDO;V7A3675;Cargo
636023642;YONG FU;5LOS4;Cargo
338616000;DUBLIN SEA;WDE9779;Local Type
309906000;FREEDOM OF THE SEAS;C6UZ7;Passenger
352005657;SUN BIRDIE;3E8881;Tanker
629009740;MAINI;C5J842;Tanker
636025432;C-WISE;5LXK7;Cargo
255916539;SAMSKIP ENDEAVOUR;CQ2788;Cargo
563269400;EVER WAFT;9V7809;Cargo
667002072;OZANNO;9LU2875;Tanker
636016405;MINOAN DIGNITY;D5GA3;Cargo
257785000;NORBJORN;LAOU7;Cargo
405000435;GREAT ROYAL;S2CX2;Cargo
440867000;HMM CEBU;D7LR;Cargo
228479900;CMA CGM TAORMINA;FNYN;Cargo
256880000;PARIS 24;9HA6013;Tanker
352202000;TOP FAIR;3EYF3;Cargo
266286000;KBV 001;SBDT;Law Enforcement
563292400;ZIM MOUNT DENALI;9V3080;Cargo
257129510;FDA MIMMI;JXPK;Dredging
538011660;DHT BAUHINIA;V7A3268;Tanker
352951000;LIANA N;3FTZ4;Cargo
341218002;MARIAM;V4WB6;Tug
273130400;YURIY ARSHENEVSKIY;UCJR;Cargo
563286400;YM WONDROUS;9V5218;Cargo
413492410;XIN HAI SHAN;BSZY;HSC
258364000;NAMSOS;3YYZ;Other
352006070;ARIES MOMIJI;3E8535;Cargo
305004300;LAAR;V2B2004;Cargo
211437270;HAFENCITY;DA2451;Passenger
572836220;NORMAN;T2GP6;Tanker
563292600;ZIM MOUNT EVEREST;9V3785;Cargo
630001187;SEA MERAY;J5AV5;Cargo
471198000;AYEH;A6E2730;Cargo
257074640;SORVEST;LK6795;Fishing
351232000;GUIA;TUG)GU;Tug
273619190;SENARA;SSD;Other
249833000;IONIAN BAY;9HA6401;Cargo
542733110;SEATERRA ACHIEVER;E6BU3;Other
538090694;TERVEL;V7A3759;Cargo
273250930;KOLOMNA;UADA2;Tanker
563285900;LAEM CHABANG EXPRESS;9V3768;Cargo
538010858;OCEAN FLOWING;V7A7524;Cargo
273456070;VITYAZ;UFLV;Tug
667002199;TENDUA;9LS1902;Tanker
247095300;SYN ACRAB;IBGK;Tanker
511101809;MERCURY LUCKY;T8A5308;Cargo
232004401;RNLI LIFEBOAT 17-25;2MJP;SAR
352005560;ZHONG LIAN 8;3E8804;Cargo
231807000;SVITZER ODEN;OZ2116;Tug
538011993;MDS ATHENA;V7A3784;Cargo
422036100;JAIRAN;EPBW2;Cargo
563288100;COSCO GLORY;9V6244;Cargo
563287300;XIAMEN EXPRESS;9VDR5;Cargo
352003080;TRANS SEA;3E5967;Tanker
